,Hour,"Buy Volume
(MWh)","Sell Volume
(MWh)","Volume
(MWh)","Price
(€/MWh)"
0,00 - 01,"28,037.9","25,050.0","28,037.9",20.64
1,01 - 02,"29,044.1","25,203.0","29,044.1",2020-11-13 00:00:00
2,02 - 03,"28,917.3","25,643.3","28,917.3",9.00
3,03 - 04,"29,221.8","25,816.9","29,221.8",8.58
4,04 - 05,"29,718.9","25,652.4","29,718.9",8.94
5,05 - 06,"29,004.5","24,126.0","29,004.5",15.44
6,06 - 07,"28,216.1","22,406.7","28,216.1",26.14
7,07 - 08,"29,110.7","24,087.5","29,110.7",35.93
8,08 - 09,"32,825.2","25,816.6","32,825.2",34.55
9,09 - 10,"33,738.2","28,376.2","33,738.2",26.62
10,10 - 11,"35,125.4","30,144.7","35,125.4",11.73
11,11 - 12,"35,470.2","32,251.4","35,470.2",10.91
12,12 - 13,"35,151.5","33,253.3","35,151.5",10.46
13,13 - 14,"35,224.1","33,045.9","35,224.1",10.47
14,14 - 15,"35,268.8","30,640.2","35,268.8",11.34
15,15 - 16,"34,320.6","27,864.4","34,320.6",24.81
16,16 - 17,"32,129.4","23,862.8","32,129.4",29.14
17,17 - 18,"31,466.1","21,466.9","31,466.1",34.96
18,18 - 19,"31,741.0","20,912.7","31,741.0",38.88
19,19 - 20,"30,703.7","21,902.1","30,703.7",38.51
20,20 - 21,"27,038.9","21,762.1","27,038.9",32.40
21,21 - 22,"26,328.1","21,893.3","26,328.1",25.82
22,22 - 23,"26,220.5","22,232.3","26,220.5",25.21
23,23 - 24,"26,464.1","23,414.6","26,464.1",21.22
